,occ,dim_0,dim_1,emp_2018,wage,sqrt_emp
474,Payroll and timekeeping clerks,-5.659412,14.907214,149.8,46180.0,12.239281024635394
475,Personal financial advisors,27.67705,21.693394,263.0,87850.0,16.217274740226856
476,Pest control workers,-17.799591,-2.3643434,87.6,37330.0,9.359487165438072
477,"Pesticide handlers, sprayers, and applicators, vegetation",-4.981224,-13.133479,38.1,35840.0,6.172519744804386
479,"Petroleum pump system operators, refinery operators, and gaugers",0.40827504,-16.971283,41.3,74180.0,6.4265076052238514
480,Pharmacists,14.470442,0.96875995,321.7,128090.0,17.93599732381782
481,Pharmacy aides,10.537476,-4.339433,37.9,27850.0,6.156297588648554
482,Pharmacy technicians,5.2295117,-1.281076,422.3,33950.0,20.549939172659368
484,Phlebotomists,10.679476,-2.3466754,132.6,35510.0,11.515207336387824
485,Photographers,-8.088305,-4.2293572,133.5,36280.0,11.554220008291344
488,Physical therapist aides,-12.170149,4.065457,50.6,27000.0,7.113367697511496
489,Physical therapist assistants,5.5644994,0.3445569,98.7,58790.0,9.934787365615835
490,Physical therapists,6.5590396,0.5695001,258.2,89440.0,16.068602926203635
491,Physician assistants,12.575207,-1.1529777,125.5,112260.0,11.20267825120404
495,Pipelayers,-18.112743,-19.942389,38.9,38820.0,6.23698645180507
498,"Plating machine setters, operators, and tenders, metal and plastic",-19.020042,-12.960505,42.1,33500.0,6.488451279003334
499,"Plumbers, pipefitters, and steamfitters",-13.186301,-19.556059,490.2,55160.0,22.140460699813815
501,Police and sheriff's patrol officers,19.735584,-5.178133,688.4,63150.0,26.237377917772193
504,Postal service clerks,-13.174009,2.6143851,78.1,48330.0,8.83742043811428
505,Postal service mail carriers,-27.882969,2.9004395,326.6,51310.0,18.072077910411963
506,"Postal service mail sorters, processors, and processing machine operators",-27.878765,-0.47181088,98.5,60140.0,9.924716620639604
512,"Preschool teachers, except special education",-20.990343,7.160027,540.4,30520.0,23.246505113672463
513,"Pressers, textile, garment, and related materials",-28.952776,-4.814108,38.3,24190.0,6.18869937870632
514,Print binding and finishing workers,-22.166697,-13.897408,45.2,33040.0,6.723094525588644
515,Printing press operators,-26.101526,-15.331743,181.4,36910.0,13.468481725866505
516,Private detectives and investigators,2.4031246,8.634599,36.2,50510.0,6.016643582596529
517,Probation officers and correctional treatment specialists,7.095196,10.206236,91.8,54290.0,9.581231653602787
518,Procurement clerks,-4.6927557,12.336142,68.5,43310.0,8.276472678623424
